pipeline,company,question,ground_truth,generated_answer,hit_rate,precision@k,recall@k,mrr,context_recall,semantic_similarity,answer_correctness,retrieval_time
Traditional RAG,HDFC Bank,What is HDFC Bank's purpose?,"HDFC Bank exists to help every Indian make better money choices, today and tomorrow.",HDFC Bank's purpose is to serve as a one-stop solution for the extensive business requirements of its customers.,1.0,0.6,1.0,0.5,0.6937172651290894,0.6222325563430786,0.0,1.0689771999605
Traditional RAG,HDFC Bank,What is HDFC Bank's overall business strategy?,"The bank aims to build long-term customer relationships through digital innovation, financial inclusion, operational excellence and sustainable growth.","HDFC Bank's overall business strategy appears to focus on growth while maintaining pricing discipline and being selective with exposures. The Bank aims to leverage its strong relationships with existing customers to increase wallet share by deepening its presence within existing products and designing effective solutions to meet their needs. Additionally, the Bank is focusing on key pillars of growth, including market leadership in agency business, comprehensive range of products and services, and a relationship-based approach. The Bank also prioritizes diversification, with a well-diversified book spread across multiple industries, and an average rating of the book between AA to AA+.",0.0,0.0,0.0,0.0,0.4889273166656494,0.5716243982315063,0.0,0.24312639998970553
Traditional RAG,HDFC Bank,What are Digital Banking Units (DBUs)?,"Digital Banking Units provide efficient, secure and paperless banking services using digital technologies.","Digital Banking Units (DBUs) are units of the Bank that serve retail customers through the Bank's digital network and other online channels, raising deposits from customers and providing loans and other services to customers.",0.0,0.0,0.0,0.0,0.6005859017372132,0.7128968238830566,0.0,0.222974999982398
Traditional RAG,HDFC Bank,What was HDFC Bank's focus in corporate banking during FY25?,"The bank increased its focus on construction finance, commercial real estate financing and lease rental discounting while serving as a one-stop solution for business customers.","HDFC Bank increased its focus to provide construction finance in residential, commercial space as well as lease rental discounting to leading developers in FY25.",0.0,0.0,0.0,0.0,0.382210373878479,0.6325218677520752,0.0,0.09918459999607876
Traditional RAG,HDFC Bank,What is HDFC Sky?,HDFC Sky is the bank's digital investment platform that offers investment and trading services supported by digital learning initiatives.,"HDFC Sky is a digital-first, tech-powered platform that empowers every Indian citizen to invest wisely and confidently, with the motto 'Make Money Matter'. It also has an initiative called Sky Learn, which provides video-driven content to demystify financial jargon and promote literacy in core concepts of investing and trading.",1.0,0.2,1.0,1.0,0.6595785617828369,0.8949527144432068,1.0,0.14391629997408018
Traditional RAG,HDFC Bank,What is the objective of Sky Learn?,Sky Learn aims to improve financial literacy by providing educational content about investing and trading through digital channels.,The objective of Sky Learn is to demystify financial jargon and promote literacy in core concepts of investing and trading.,1.0,0.2,1.0,1.0,0.43101274967193604,0.855228841304779,1.0,0.12099600001238286
Traditional RAG,HDFC Bank,Where does HDFC Bank have an international presence?,"HDFC Bank has international branches in Hong Kong, Bahrain, Dubai International Financial Centre, Singapore and GIFT IFSC.","HDFC Bank has an international presence in the following locations: 

1. Hong Kong
2. Bahrain
3. Dubai International Financial Centre (DIFC)
4. Singapore 

Additionally, it is mentioned that the bank has an IFSC (International Financial Services Centre), but the location of the IFSC is not specified.",1.0,0.4,1.0,1.0,0.7010836243629456,0.8981919288635254,1.0,0.08463750005466864
Traditional RAG,HDFC Bank,How did the merger with HDFC Limited influence retail banking?,The merger strengthened customer relationships by increasing savings account penetration among home loan customers and expanding cross-selling opportunities.,"The merger with HDFC Limited brought together HDFC Limited's segment expertise of over four and a half decades and in-person customer connect with HDFC Bank's extensive branch network and ability to leverage technology platforms, strengthening the Bank's position as a leading financial institution, particularly in the mortgage loan business, which has grown from strength to strength and is now the largest in the country.",0.0,0.0,0.0,0.0,0.5282053053379059,0.4962208867073059,0.0,0.2150334999896586
Traditional RAG,HDFC Bank,How is HDFC Bank improving digital banking?,"The bank is expanding digital banking units, investing in digital platforms and offering secure paperless banking services.","HDFC Bank is improving digital banking by digitalising customer touchpoints, document collection processes, sales service, and others. It has enabled self-service digital capabilities across all branches. The Bank has also moved towards a platform-led, customer-first approach, powering every digital interaction and enabling seamless integration and shaping customer experiences across channels. Additionally, it is deploying AI-led customer services, modernising lending platforms, and scaling merchant ecosystems.",0.0,0.0,0.0,0.0,0.5789953410625458,0.6333207488059998,0.0,0.22868890000972897
Traditional RAG,HDFC Bank,What is Project NAMAN?,Project NAMAN is HDFC Bank's initiative with the Indian Army to support veterans by improving access to government and banking services.,"Project NAMAN is an initiative launched in partnership with the Indian Army and CSC e-Governance, which offers comprehensive service delivery through Common Service Centres operated by veterans and their families, providing pension-related support, Government-to-Citizen (G2C) services, and Business-to-Consumer (B2C) services.",1.0,0.4,1.0,1.0,0.5579581499099732,0.7742795348167419,0.0,0.15649650001432747
Traditional RAG,HDFC Bank,What is the goal of HDFC Bank's business banking segment?,The goal is to provide a comprehensive one-stop solution for the business banking needs of customers.,"The goal of HDFC Bank is to serve as a one-stop solution for the extensive business requirements of its customers, and in the context of business banking, it aims to be a one-stop shop for its customers, providing services like CMS, liability products, and others to deepen wallet share across customers.",0.0,0.0,0.0,0.0,0.41528441309928893,0.6422492265701294,0.0,0.17211019998649135
Traditional RAG,HDFC Bank,What new opportunities emerged after the HDFC Limited merger?,"The merger expanded opportunities in housing finance, construction finance and deeper customer engagement.","After the HDFC Limited merger, new opportunities emerged, including increased cross-sell opportunities within the HDFC Bank Group, particularly in the mortgage business, which has grown from strength to strength and is now the largest in the country. Additionally, the bank increased its focus on providing construction finance in residential, commercial space, as well as lease rental discounting to leading developers in FY25. The merger also enhanced the bank's ability to offer comprehensive financial solutions, deepening and lengthening customer relationships.",0.0,0.0,0.0,0.0,0.45840916633605955,0.5988427400588989,0.0,0.18911799998022616
Traditional RAG,HDFC Bank,Which customer segment received increased attention in FY25?,The bank increased its focus on self-employed customers while strengthening retail and business banking.,I don't have enough information.,0.0,0.0,0.0,0.0,0.28541638851165774,0.07878053188323975,0.0,0.11331370001425967
Traditional RAG,HDFC Bank,How does HDFC Bank promote investment awareness?,"Through HDFC Sky and the Sky Learn initiative, the bank provides digital educational resources for investors.","HDFC Bank promotes investment awareness through over 100 Investor Education Initiatives, which include having fund managers as expert guest speakers.",0.0,0.0,0.0,0.0,0.6087061643600464,0.6791963577270508,0.0,0.10478049999801442
Traditional RAG,HDFC Bank,What is HDFC Bank's objective regarding customer relationships?,The bank aims to build deeper and long-term banking relationships with customers.,"HDFC Bank's objective regarding customer relationships is to foster trust, enhance satisfaction, and build lasting relationships with customers by anticipating their needs and delivering innovative, personalized financial solutions. The Bank also endeavors to leverage its strong relationships with existing customers to increase wallet share by deepening share within existing products and designing effective solutions across their needs.",0.0,0.0,0.0,0.0,0.49424040913581846,0.6112151145935059,0.0,0.11720750003587455
Traditional RAG,HDFC Bank,How does HDFC Bank support paperless banking?,The bank uses Digital Banking Units and technology-driven digital services to provide secure paperless banking.,"HDFC Bank supports paperless banking by enabling self-service digital capabilities across all its branches and connecting to direct DBUs (Digital Banking Units) across various locations, which provide efficient, secure, and paperless banking services. Additionally, the bank has digitalised customer touchpoints, document collection processes, sales, and services.",0.0,0.0,0.0,0.0,0.44674516320228574,0.6988879442214966,0.0,0.06544320000102744
